group,stimulus,FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y
c,0,-3.982,-2.89,-3.967,-0.5674,-5.12,-4.844,-5.004,-4.375,-7.31,-3.828,-4.06,-4.363,-5.3,-1.242,-3.22,-4.99,-5.52,-3.666,-0.4038,0.613,1.394,0.706,0.4722,0.04218,1.058,1.444,1.928,3.393,3.8,2.355,2.76,2.27,-3.967,-0.5674,-6.73,-2.615,-3.22,-1.242,-3.906,-3.666,-5.52,-0.4949,-2.436,-5.61,-6.867,1.444,1.928,-5.004,0.4722,0.04218,3.025,0.7227,-1.037,-1.941,2.125,3.686,-4.99,1.852,2.674,2.98,2.887,1.058,-3.27,0.606
c,0,2.29,3.035,2.072,3.918,-0.1422,0.7793,-1.325,0.9253,0.56,1.035,2.756,0.2722,1.181,6.082,3.242,-1.121,0.2118,1.144,3.703,4.094,5.355,4.25,3.604,3.79,3.31,4.14,2.645,6.254,6.27,5.37,4.562,6.71,2.072,3.918,0.715,2.805,3.242,6.082,0.9385,1.144,0.2118,3.71,1.576,0.3801,-0.1597,4.14,2.645,-1.325,3.604,3.79,5.363,4.57,1.357,0.404,3.533,4.273,-1.121,6.734,5.63,10.34,4.715,3.31,2.035,6.28
c,0,-0.4998,6.22,-4.035,9.016,-1.316,2.578,-0.1117,2.89,-4.875,3.959,-3.816,-0.929,-3.217,7.734,-1.339,-2.42,-4.92,1.525,1.031,3.914,1.093,1.39,0.1428,1.966,0.5645,5.06,1.858,6.465,8.28,9.305,9.65,5.0,-4.035,9.016,-5.723,7.605,-1.339,7.734,1.227,1.525,-4.92,3.275,-3.092,-0.254,-2.957,5.06,1.858,-0.1117,0.1428,1.966,5.56,5.31,-2.066,-0.3135,7.797,6.902,-2.42,7.285,8.73,-0.7124,4.965,0.5645,-0.9575,-3.184
c,0,1.279,3.203,-0.9033,4.883,0.09357,1.55,-0.9336,1.64,-1.854,3.885,-2.264,-0.43,-1.671,4.8,-0.000689,-1.73,-1.254,1.208,-0.5264,2.168,1.084,2.71,-0.6035,0.617,2.037,3.428,-0.3923,3.072,3.098,3.117,2.182,1.311,-0.9033,4.883,-1.359,2.852,-0.000689,4.8,2.207,1.208,-1.254,2.959,-0.3926,-0.03296,-1.895,3.428,-0.3923,-0.9336,-0.6035,0.617,-1.892,2.318,0.3638,0.9883,2.05,1.711,-1.73,1.83,2.27,3.25,1.775,2.037,0.7715,-2.73
c,0,1.463,1.94,-0.2366,3.23,-0.00306,1.898,8.51,-1.467,-2.428,-3.953,-0.5957,-5.527,-3.812,-3.225,-3.875,-6.855,-0.7505,-3.137,-1.937,-3.102,-8.89,-6.266,-5.7,-5.13,-8.33,-5.984,-3.162,-3.957,-2.006,-3.793,-2.826,5.75,-0.2366,3.23,-1.925,0.776,-3.875,-3.225,0.4998,-3.137,-0.7505,-10.195,-1.356,-1.47,-4.887,-5.984,-3.162,8.51,-5.7,-5.13,-1.978,-3.443,-9.99,-8.97,-1.518,-5.08,-6.855,-1.912,-2.43,-6.99,-6.293,-8.33,1.338,6.45
c,0,-4.145,-3.049,-2.23,-3.643,-5.418,-5.016,-6.16,-6.504,-4.742,-7.105,-1.439,-5.25,-4.34,-5.69,-0.9995,-4.96,-2.922,-5.6,2.957,-3.37,5.113,1.821,4.4,-0.831,3.234,-3.742,3.576,5.62,10.96,5.566,8.42,0.407,-2.23,-3.643,-3.547,-5.832,-0.9995,-5.69,-3.404,-5.6,-2.922,-5.05,0.8867,-7.01,-5.703,-3.742,3.576,-6.16,4.4,-0.831,7.113,0.934,0.05124,-1.222,10.38,5.074,-4.96,8.195,9.13,-0.04733,9.31,3.234,-3.75,-2.236
c,0,-0.1395,1.832,-1.721,2.766,0.4048,1.014,0.6494,3.361,-0.121,3.86,1.294,1.546,0.687,1.94,1.866,1.2,1.199,2.416,1.15,1.093,-0.2233,0.7935,2.3,-0.02374,0.02847,1.406,0.638,-0.442,2.777,-1.176,-0.0324,1.147,-1.721,2.766,-0.1266,2.523,1.866,1.94,-0.07855,2.416,1.199,1.972,1.058,1.076,-0.4387,1.406,0.638,0.6494,2.3,-0.02374,1.792,1.811,1.021,1.076,1.044,-0.011856,1.2,-0.3115,1.394,-2.238,1.17,0.02847,-0.3813,-4.438
c,0,6.812,6.836,6.586,8.95,3.16,4.363,2.96,2.898,1.755,3.75,3.025,0.069,-0.1406,5.812,3.754,-0.496,1.321,1.747,0.1904,0.894,1.4795,0.6646,0.715,-1.095,0.387,1.524,0.8086,0.3386,0.8228,0.7295,1.341,10.88,6.586,8.95,3.945,7.28,3.754,5.812,6.35,1.747,1.321,-0.6353,1.577,1.377,0.2325,1.524,0.8086,2.96,0.715,-1.095,-0.6343,-0.126,-0.2798,0.2656,0.3313,1.46,-0.496,0.601,0.9194,-1.969,0.324,0.387,7.074,4.26
c,0,-2.629,-2.438,-3.188,-1.813,-0.716,-1.345,0.909,-1.614,1.965,-2.078,1.367,-2.607,-0.3494,-2.668,0.5244,-0.7114,2.928,-2.346,2.537,-1.051,2.148,-1.029,1.993,-0.548,-0.34,-0.2205,1.774,-0.05917,2.018,0.2155,2.404,-5.176,-3.188,-1.813,1.014,-1.304,0.5244,-2.668,-2.176,-2.346,2.928,-2.504,1.864,-2.664,0.563,-0.2205,1.774,0.909,1.993,-0.548,2.775,0.661,1.645,-2.092,2.77,2.146,-0.7114,1.543,1.316,-6.17,1.626,-0.34,-2.818,-10.14
c,0,6.117,8.36,2.965,13.164,3.896,6.63,5.145,5.86,-0.08997,8.47,1.334,2.68,-0.4329,9.68,2.266,1.426,0.7275,5.246,2.232,4.27,-0.1383,1.59,1.502,1.438,1.168,5.176,1.588,-1.198,-0.04633,-0.2805,-0.32,5.37,2.965,13.164,1.904,9.11,2.266,9.68,7.848,5.246,0.7275,5.043,2.135,4.266,2.176,5.176,1.588,5.145,1.502,1.438,2.107,2.545,0.421,2.172,0.1418,3.041,1.426,0.03925,-1.451,-3.582,0.2429,1.168,6.027,-2.988
c,0,-2.379,-1.299,-2.643,-0.527,-3.328,-3.188,-4.125,-2.305,-2.309,-2.01,0.1676,-1.985,-1.692,2.967,-1.169,-2.264,-1.241,-1.249,5.44,3.154,2.89,1.679,3.367,3.67,1.424,2.898,4.656,6.336,8.72,5.01,6.88,3.346,-2.643,-0.527,-3.568,-0.952,-1.169,2.967,-2.916,-1.249,-1.241,0.892,1.931,-2.107,-3.234,2.898,4.656,-4.125,3.367,3.67,7.777,3.695,0.5635,-1.246,8.23,7.168,-2.264,5.09,6.81,7.902,4.094,1.424,-2.45,-8.56
c,0,4.52,4.934,4.496,9.484,1.897,1.453,1.83,0.8877,1.402,5.098,3.268,-1.2295,-1.149,7.46,4.074,-2.318,1.833,1.933,4.223,4.906,3.799,2.494,3.082,4.562,2.166,5.69,5.223,4.227,3.488,2.945,3.762,12.836,4.496,9.484,2.988,5.04,4.074,7.46,4.36,1.933,1.833,5.363,4.6,-1.052,-1.501,5.69,5.223,1.83,3.082,4.562,4.984,3.46,1.035,0.1847,4.57,5.977,-2.318,4.125,0.4363,3.967,3.953,2.166,4.223,0.5767
c,0,-6.24,-6.953,-7.45,-4.246,-6.04,-3.697,-5.664,-1.206,-5.344,-0.8286,-5.598,-0.09784,-3.062,-3.477,-7.82,-1.535,-5.15,-0.611,-5.914,-1.222,-1.848,0.2678,-3.54,-0.1769,0.3274,-2.674,-8.03,-6.37,-7.465,-10.81,-12.57,-12.02,-7.45,-4.246,-5.707,-1.976,-7.82,-3.477,-6.37,-0.611,-5.15,0.539,-5.137,-1.621,-3.719,-2.674,-8.03,-5.664,-3.54,-0.1769,-7.94,-4.074,-1.273,0.9155,-9.77,-8.26,-1.535,-7.816,-12.56,-4.098,-5.074,0.3274,-6.44,-9.89
c,0,-6.043,-7.742,-8.27,-7.99,-5.45,-5.91,-5.402,-5.598,-3.607,-6.203,-4.125,-2.26,-1.068,-5.93,-4.94,-0.5957,-2.395,-5.074,-3.873,-6.695,-1.061,-4.12,-5.38,-5.938,-2.889,-6.152,-3.48,-8.516,-4.695,-5.402,-4.37,-7.98,-8.27,-7.99,-6.09,-7.113,-4.94,-5.93,-6.156,-5.074,-2.395,-5.684,-3.242,-4.7,-4.01,-6.152,-3.48,-5.402,-5.38,-5.938,-4.797,-7.594,-0.2544,-3.072,-4.93,-7.86,-0.5957,-5.434,-4.293,0.286,-2.902,-2.889,-6.156,-12.86
c,0,3.271,2.746,0.709,1.92,3.479,2.953,3.617,2.072,2.129,1.653,-0.7573,1.657,1.848,2.787,-1.053,2.07,1.806,1.241,-3.383,-2.674,-0.1511,-3.16,-2.307,-2.926,-3.145,-1.069,-3.408,-4.27,-3.773,-2.234,-2.242,7.48,0.709,1.92,1.121,2.26,-1.053,2.787,3.59,1.241,1.806,0.04166,-1.418,2.75,2.557,-1.069,-3.408,3.617,-2.307,-2.926,-2.79,-2.248,0.2961,0.2986,0.08575,-0.788,2.07,-5.703,-2.268,-4.0,-3.668,-3.145,2.816,-2.895
c,0,-7.777,-7.23,-7.27,-6.258,-5.918,-4.3,-5.805,-1.694,-3.33,2.656,-3.148,-0.543,-0.793,4.516,-2.568,-0.06714,-1.667,0.5786,-3.193,2.84,-1.539,-0.2318,-2.703,0.742,-1.028,5.36,-3.492,-1.86,-5.523,-3.977,-6.36,-7.844,-7.27,-6.258,-4.574,-0.876,-2.568,4.516,-6.734,0.5786,-1.667,2.777,-2.707,-1.998,-2.305,5.36,-3.492,-5.805,-2.703,0.742,-4.344,1.136,-0.4,-0.6147,-4.562,1.042,-0.06714,-3.543,-6.57,3.71,-3.334,-1.028,-7.7,0.7173
c,0,3.75,7.64,3.771,11.164,0.8022,3.754,2.615,3.29,-1.214,11.4,1.821,-0.57,-3.857,17.0,4.6,-2.283,0.511,4.973,3.65,8.38,1.014,1.724,0.7227,2.986,0.5215,15.44,7.168,7.727,5.242,10.03,9.41,10.37,3.771,11.164,2.516,9.87,4.6,17.0,6.105,4.973,0.511,9.44,3.51,0.658,-3.016,15.44,7.168,2.615,0.7227,2.986,4.266,7.45,-2.36,0.1809,8.734,9.484,-2.283,5.58,6.156,4.742,2.615,0.5215,4.023,11.98
c,0,-8.17,-5.926,-9.234,-4.92,-7.598,-6.316,-7.203,-2.787,-6.477,-3.666,-6.074,-2.812,-3.86,-5.68,-9.055,-3.102,-4.617,-2.818,-3.463,-2.281,-0.344,1.2705,-0.7188,-1.071,1.773,-2.771,-4.656,2.064,1.246,-3.107,-1.451,-16.05,-9.234,-4.92,-6.793,-3.842,-9.055,-5.68,-7.73,-2.818,-4.617,-3.236,-4.26,-5.03,-4.375,-2.771,-4.656,-7.203,-0.7188,-1.071,-1.758,-0.5737,-0.8955,-0.6357,-4.633,-2.922,-3.102,1.668,-2.732,0.37,1.489,1.773,-7.797,-19.06
c,0,-1.144,-3.088,-1.389,-3.902,-2.719,-4.85,-3.418,-7.02,-4.07,-1.957,-1.682,-5.715,-4.996,-2.99,-1.095,-5.145,-2.396,-5.59,1.6,0.782,0.398,0.8267,2.734,-0.1288,2.086,2.13,2.863,3.8,4.707,2.135,4.32,3.094,-1.389,-3.902,-1.78,-6.984,-1.095,-2.99,-2.092,-5.59,-2.396,-2.393,0.221,-7.383,-6.957,2.13,2.863,-3.418,2.734,-0.1288,3.664,2.395,-1.626,-3.03,4.145,0.7974,-5.145,4.344,1.564,7.8,3.82,2.086,-1.346,-0.6694
c,0,0.1931,3.771,-2.941,6.812,0.3745,2.172,2.15,2.992,0.5293,5.42,0.4055,0.9546,-0.5337,4.816,-1.74,1.152,0.4546,2.162,0.05823,0.005714,-0.9014,-1.356,0.5176,0.4626,-0.8496,0.0239,-0.1696,-1.206,0.4407,0.329,2.54,1.97,-2.941,6.812,-1.1875,6.098,-1.74,4.816,2.105,2.162,0.4546,-1.353,0.9136,2.002,0.3113,0.0239,-0.1696,2.15,0.5176,0.4626,1.682,-1.044,0.473,-0.3037,0.4016,-1.223,1.152,-1.232,0.09143,-4.508,-0.3064,-0.8496,0.323,-7.22
c,0,2.783,4.836,0.2471,5.312,2.99,4.16,2.416,4.668,1.22,5.04,0.1691,2.17,-0.0912,2.88,-1.321,-0.2734,0.11664,4.89,-0.5444,2.812,1.725,1.829,0.7686,2.729,0.6836,0.4883,-0.791,0.0655,-0.01784,-3.096,-2.34,7.953,0.2471,5.312,0.722,7.008,-1.321,2.88,3.168,4.89,0.11664,4.137,0.1656,3.516,1.565,0.4883,-0.791,2.416,0.7686,2.729,-0.755,1.338,0.6816,0.773,-1.242,-2.293,-0.2734,0.8037,-2.951,1.738,0.9326,0.6836,3.252,-14.375
c,0,-7.31,-5.426,-8.3,-4.63,-7.082,-5.145,-7.42,-3.896,-5.21,-5.207,-5.105,-1.152,-3.033,-8.89,-5.918,-1.827,-3.816,-2.904,-3.375,-5.105,-0.433,1.339,-1.607,-2.11,1.979,-9.41,-4.805,-2.781,-1.326,-5.906,-4.402,-10.41,-8.3,-4.63,-7.168,-5.12,-5.918,-8.89,-7.293,-2.904,-3.816,-5.715,-3.578,-4.01,-5.11,-9.41,-4.805,-7.42,-1.607,-2.11,-3.818,-4.78,-1.128,-0.309,-7.26,-8.625,-1.827,-1.102,-4.67,-9.65,0.87,1.979,-7.367,-11.04
c,0,-0.863,-0.2277,-2.465,0.7896,0.7734,0.867,0.549,0.2698,-0.2515,-0.01242,-3.943,0.518,-1.739,-2.033,-6.133,0.8706,-1.829,0.04126,-4.312,-3.705,-3.314,-2.973,-2.713,-1.296,-2.38,-5.645,-5.344,-5.94,-4.152,-8.195,-6.26,-5.332,-2.465,0.7896,-1.173,-0.1959,-6.133,-2.033,-0.4067,0.04126,-1.829,-2.531,-4.8,-0.1256,-0.4749,-5.645,-5.344,0.549,-2.713,-1.296,-4.633,-4.4,-1.897,-0.517,-5.39,-8.54,0.8706,-4.766,-6.83,2.125,-2.717,-2.38,-1.026,-12.28
c,0,-4.324,-6.11,-6.207,-5.445,-3.951,-4.137,-6.023,-4.277,-5.703,-1.425,-4.383,-2.322,-4.24,-1.496,-5.69,-4.51,-4.07,-2.941,0.662,1.799,2.562,2.947,1.304,5.473,2.623,0.528,-0.385,3.785,4.2,1.4795,2.87,-4.29,-6.207,-5.445,-6.48,-3.648,-5.69,-1.496,-4.2,-2.941,-4.07,0.6133,-0.975,-4.523,-4.953,0.528,-0.385,-6.023,1.304,5.473,2.66,2.63,-0.2386,0.301,2.4,-0.1945,-4.51,4.535,0.447,2.355,4.402,2.623,-4.51,-8.58
c,0,-0.7764,2.154,-1.809,3.275,-2.053,0.3477,0.04962,-0.2124,-3.865,3.041,-0.2047,-1.892,-2.85,3.662,-0.4915,-2.24,-2.42,-0.05783,2.197,2.158,2.318,2.389,1.177,1.964,2.424,3.285,2.24,3.643,6.348,3.455,4.355,0.119,-1.809,3.275,-2.697,2.611,-0.4915,3.662,0.792,-0.05783,-2.42,1.99,0.0757,-1.75,-4.652,3.285,2.24,0.04962,1.177,1.964,4.043,2.94,-0.4077,-0.4656,4.453,0.3752,-2.24,6.523,4.277,-2.338,5.383,2.424,-1.207,-2.832
c,0,-11.19,-12.43,-8.1,-9.055,-11.49,-11.46,-12.77,-9.48,-8.625,-6.105,-3.33,-6.836,-5.664,-4.35,-2.379,-7.33,-4.746,-6.83,2.127,1.474,5.883,5.082,2.84,4.75,6.156,1.78,2.258,7.195,5.695,5.33,3.9,-11.72,-8.1,-9.055,-7.273,-7.26,-2.379,-4.35,-12.39,-6.83,-4.746,-1.55,-0.684,-10.71,-9.57,1.78,2.258,-12.77,2.84,4.75,5.16,6.02,1.192,-1.137,7.758,7.29,-7.33,7.926,6.26,28.02,7.523,6.156,-10.375,-4.684
c,0,1.373,2.46,-1.177,6.273,-3.22,-0.799,-2.25,-2.592,-3.719,5.39,1.633,-2.184,-3.465,6.594,3.402,-2.738,-1.212,-0.2389,3.21,3.994,2.025,0.9404,2.135,1.118,2.125,7.227,4.66,3.24,3.35,4.848,5.734,5.996,-1.177,6.273,-0.4126,3.213,3.402,6.594,0.9854,-0.2389,-1.212,1.657,2.746,-2.99,-6.05,7.227,4.66,-2.25,2.135,1.118,4.78,3.947,0.1145,0.163,7.996,8.305,-2.738,3.898,4.965,-1.279,3.97,2.125,1.32,-3.223
c,0,2.146,2.285,-1.139,5.46,0.239,0.9844,0.5884,0.8506,-1.131,5.215,-3.354,-0.8647,-1.076,4.46,-0.9585,-1.126,0.609,1.177,0.7656,-0.442,-0.8496,1.092,1.474,0.00787,1.336,1.932,-0.5366,2.074,2.959,1.994,2.07,1.731,-1.139,5.46,-1.835,2.043,-0.9585,4.46,2.459,1.177,0.609,-2.371,-0.5684,-0.5923,-1.295,1.932,-0.5366,0.5884,1.474,0.00787,1.701,1.709,-0.722,-0.2786,1.153,2.56,-1.126,2.793,-1.063,-2.705,2.61,1.336,2.229,-10.516
c,0,-0.4658,3.238,0.7227,3.379,-0.7275,0.904,-1.045,0.4316,-2.164,3.355,-0.4646,0.333,-1.168,2.834,2.693,-0.725,-2.686,0.7925,-1.049,1.878,0.09247,0.4363,-0.2238,1.743,-0.1409,1.988,-1.751,-2.316,0.04712,-3.902,-3.049,1.975,0.7227,3.379,-1.381,3.078,2.693,2.834,0.3875,0.7925,-2.686,-1.103,0.3713,0.4375,-0.8447,1.988,-1.751,-1.045,-0.2238,1.743,-0.0914,0.07526,-0.7695,-0.2267,-2.525,-0.4106,-0.725,-1.363,-2.924,-4.67,-0.3804,-0.1409,-0.2876,-3.127
c,0,9.336,10.06,5.637,12.57,4.863,5.266,3.68,1.865,1.105,4.184,2.277,-0.1641,-1.595,2.572,11.94,-0.685,-0.3438,1.31,2.525,0.1412,-0.419,-0.1708,0.9116,-0.711,0.461,1.263,2.793,0.4958,1.201,0.3245,0.84,18.48,5.637,12.57,3.814,3.58,11.94,2.572,9.53,1.31,-0.3438,7.18,3.322,0.8447,0.1964,1.263,2.793,3.68,0.9116,-0.711,0.883,-0.79,-0.769,1.067,3.143,0.7764,-0.685,1.004,-0.2512,0.5186,0.6777,0.461,8.914,0.1344
c,0,4.22,5.227,4.61,3.992,2.271,2.225,0.755,1.077,0.4336,3.48,4.08,-1.202,-0.0936,7.457,7.508,-1.92,0.449,-0.589,1.343,0.938,0.1849,-0.952,-0.3313,-1.488,1.031,1.883,2.363,-0.3555,-4.316,-1.26,-0.912,12.164,4.61,3.992,2.25,2.818,7.508,7.457,4.51,-0.589,0.449,1.813,3.125,-0.4749,-0.1469,1.883,2.363,0.755,-0.3313,-1.488,-1.118,-1.374,-1.227,-0.915,-1.503,6.0,-1.92,-1.265,-0.4102,-0.4827,-2.764,1.031,3.947,13.266
c,0,3.533,4.656,1.712,5.35,1.461,3.586,1.704,4.28,0.9854,2.559,-0.04434,0.644,0.05975,4.023,1.767,-0.678,-0.9805,0.928,1.791,2.408,-0.03653,0.6416,0.486,0.518,-2.887,5.63,2.525,1.731,2.887,6.617,2.021,3.6,1.712,5.35,1.167,3.56,1.767,4.023,3.496,0.928,-0.9805,3.021,0.991,1.91,1.82,5.63,2.525,1.704,0.486,0.518,1.821,5.598,-1.1455,-0.5957,3.596,3.686,-0.678,1.406,4.9,2.725,6.8,-2.887,3.35,4.17
c,0,-0.4966,-0.9785,-0.4097,-0.4644,-3.328,-2.748,-2.586,-2.57,-3.473,3.914,-0.5645,0.0835,-0.968,6.04,2.316,-1.58,-1.566,2.99,4.785,8.484,2.895,4.453,3.46,6.125,4.215,10.04,5.637,5.215,6.383,5.887,6.605,1.948,-0.4097,-0.4644,-2.361,1.077,2.316,6.04,-2.027,2.99,-1.566,5.67,3.754,-2.525,-2.941,10.04,5.637,-2.586,3.46,6.125,8.055,9.39,0.7227,2.715,6.92,8.05,-1.58,5.24,4.62,5.75,8.88,4.215,-0.533,2.346
c,0,-2.475,-1.352,-3.527,-1.793,-0.8555,0.3528,-2.229,1.5205,-2.666,1.434,-2.121,1.336,-1.305,2.393,-0.9395,1.236,-2.766,0.2593,-3.299,-0.726,-1.979,1.075,-4.54,0.8857,2.217,-2.633,-4.66,2.465,-3.496,-4.47,-5.773,8.46,-3.527,-1.793,-2.447,0.361,-0.9395,2.393,-1.004,0.2593,-2.766,-0.6177,-3.805,1.269,-2.662,-2.633,-4.66,-2.229,-4.54,0.8857,-3.605,-0.562,-0.2169,0.6655,-3.625,0.3916,1.236,0.923,-6.527,-0.6567,-3.738,2.217,-2.236,-5.824
