group,stimulus,FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y
a,0,19.95,20.94,13.336,10.125,9.234,7.72,8.77,3.064,3.352,-1.472,-1.551,-0.1327,0.8755,-2.39,-1.279,0.5137,0.727,-0.4934,-4.445,-5.05,-2.277,-2.281,-2.936,-5.332,-3.184,-7.94,-7.125,-7.75,-6.348,-9.02,-7.973,33.78,13.336,10.125,1.889,1.19,-1.279,-2.39,18.12,-0.4934,0.727,-3.854,-2.797,2.562,3.414,-7.94,-7.125,8.77,-2.936,-5.332,-6.8,-8.21,-1.811,-2.428,-6.324,-9.49,0.5137,-6.188,-8.984,-4.438,-5.727,-3.184,19.44,1.482
a,0,8.53,8.21,6.64,5.945,2.785,2.54,2.543,1.132,0.2074,0.9614,0.744,0.642,2.062,1.983,1.871,0.358,1.044,0.2175,-1.327,-2.133,-0.918,-1.262,-0.7783,-3.018,-0.603,-2.367,-2.338,-4.08,-3.031,-4.887,-4.176,16.48,6.64,5.945,1.162,1.702,1.871,1.983,8.13,0.2175,1.044,-0.3027,0.1326,0.474,1.353,-2.367,-2.338,2.543,-0.7783,-3.018,-3.746,-5.0,-0.335,-1.002,-2.799,-4.75,0.358,-2.549,-4.406,-2.422,-2.354,-0.603,8.375,4.082
a,0,6.195,6.82,3.303,4.473,1.335,1.79,1.68,1.015,-0.734,0.6294,2.684,-0.5435,-1.352,0.1627,-1.284,-1.066,-0.4836,-0.03296,-0.3586,0.1672,0.2063,0.726,-0.04724,-0.2197,0.997,-1.71,-1.88,-2.367,-2.168,-3.96,-3.33,16.66,3.303,4.473,0.2595,2.014,-1.284,0.1627,6.668,-0.03296,-0.4836,0.0743,-0.4414,-0.5176,-1.633,-1.71,-1.88,1.68,-0.04724,-0.2197,-1.79,-2.457,-0.02945,0.587,-6.73,-3.217,-1.066,-1.549,-3.352,-0.9233,-0.8896,0.997,6.273,-2.37
a,0,20.53,19.1,17.17,13.52,12.29,10.48,10.46,5.58,5.848,5.582,2.623,1.88,1.635,5.19,4.887,0.932,2.4,3.273,1.13,2.635,0.2866,0.705,1.011,2.713,0.4214,2.65,2.324,1.706,0.4458,1.898,-0.3782,30.97,17.17,13.52,7.254,6.848,4.887,5.19,19.58,3.273,2.4,3.285,2.549,5.336,5.48,2.65,2.324,10.46,1.011,2.713,0.385,2.102,0.619,0.617,-2.707,1.87,0.932,0.692,1.566,1.459,0.4893,0.4214,20.27,9.02
a,0,3.178,3.234,4.055,2.512,2.414,1.684,2.031,0.7026,1.481,-0.4934,0.3408,-0.2162,1.143,-1.416,0.0965,-0.3796,1.347,0.328,-2.219,-2.693,-0.1323,-0.5537,-0.579,-1.001,0.00969,-4.637,-1.982,-4.72,-5.367,-6.73,-7.37,4.51,4.055,2.512,2.355,0.946,0.0965,-1.416,3.135,0.328,1.347,-1.242,0.35,0.5605,1.1,-4.637,-1.982,2.031,-0.579,-1.001,-4.137,-4.152,1.297,0.332,-8.336,-7.1,-0.3796,-4.742,-6.824,-2.188,-2.998,0.00969,3.578,-0.297
a,0,13.44,11.555,8.01,7.59,5.7,5.26,4.516,2.812,1.369,1.578,-0.4897,2.01,0.934,0.1597,-2.572,1.901,0.2163,2.268,-4.188,-0.842,-2.014,-0.6367,-3.004,-2.332,-1.363,-3.348,-6.086,-5.13,-5.656,-5.953,-6.605,19.84,8.01,7.59,0.6494,2.547,-2.572,0.1597,12.875,2.268,0.2163,0.288,-3.021,3.05,2.723,-3.348,-6.086,4.516,-3.004,-2.332,-5.816,-4.504,-1.576,0.7344,-11.484,-4.832,1.901,-5.04,-5.805,-3.434,-4.73,-1.363,13.086,-2.271
a,0,5.395,6.43,2.117,4.348,3.861,4.043,4.715,3.533,1.634,2.117,3.184,2.57,1.065,1.278,0.6045,2.064,1.559,2.574,-2.69,-0.7954,-1.202,0.4075,-0.997,-1.51,-0.794,-1.962,-1.569,-3.63,-4.176,-4.77,-5.5,8.76,2.117,4.348,1.101,3.7,0.6045,1.278,5.312,2.574,1.559,0.5635,-0.6504,3.285,2.418,-1.962,-1.569,4.715,-0.997,-1.51,-4.137,-3.707,-0.1876,0.4946,-4.176,-4.3,2.064,-4.23,-4.74,-2.438,-3.201,-0.794,5.062,1.397
a,0,-1.33,-1.305,-0.3735,0.1935,-4.41,-3.89,-4.77,-4.133,-3.62,-1.086,-1.619,-3.55,-3.477,-0.461,0.2465,-4.727,-1.458,-1.532,3.365,2.293,4.81,3.654,4.32,3.295,4.113,2.422,4.51,6.562,6.53,5.957,6.414,3.748,-0.3735,0.1935,-2.441,-2.33,0.2465,-0.461,-2.16,-1.532,-1.458,0.5146,2.236,-5.01,-5.152,2.422,4.51,-4.77,4.32,3.295,5.562,4.16,0.1202,0.0627,0.7495,4.684,-4.727,6.965,6.68,6.36,6.684,4.113,-1.321,0.4333
a,0,-0.3271,0.2446,-1.18,-1.591,-2.533,-2.398,-1.678,-0.7393,-2.404,0.911,0.9165,-0.7563,-2.059,0.761,-0.2517,-2.227,-0.7188,-0.611,0.8394,2.041,0.992,2.857,0.2345,2.32,1.794,1.337,-0.3918,3.729,3.088,1.999,2.254,2.512,-1.18,-1.591,-1.204,0.005276,-0.2517,0.761,0.02403,-0.611,-0.7188,2.322,0.1761,-2.43,-3.117,1.337,-0.3918,-1.678,0.2345,2.32,-0.109,0.923,-0.794,1.302,4.13,1.043,-2.227,4.254,2.725,3.8,2.236,1.794,-0.3728,2.24
a,0,2.076,0.649,3.05,-2.826,1.456,0.001323,0.1969,-1.534,0.8003,-1.689,1.351,-0.9023,0.524,-2.252,0.929,-0.7314,-0.2698,-1.718,-1.868,-3.004,0.0948,-0.3035,-1.026,-0.7246,0.05087,-4.746,-2.684,-3.412,-4.684,-5.062,-6.555,3.898,3.05,-2.826,1.185,-1.891,0.929,-2.252,2.135,-1.718,-0.2698,-1.768,-1.155,-1.009,0.1777,-4.746,-2.684,0.1969,-1.026,-0.7246,-3.662,-3.305,0.8394,0.01651,-11.4,-5.58,-0.7314,-4.125,-5.453,-1.795,-2.97,0.05087,1.64,1.807
a,0,-1.979,-2.807,-2.072,-5.38,-2.367,-2.842,-1.706,-2.232,-2.432,-2.51,-2.912,-0.443,-1.577,-4.664,-6.426,-0.5776,-2.182,-0.738,-6.156,-2.57,-2.75,-0.253,-4.15,-1.5625,-1.574,-5.02,-9.125,-5.547,-7.016,-8.555,-10.27,-4.094,-2.072,-5.38,-3.277,-3.342,-6.426,-4.664,-2.137,-0.738,-2.182,-1.719,-4.977,-2.26,-1.462,-5.02,-9.125,-1.706,-4.15,-1.5625,-7.9,-4.72,-2.088,0.7627,-11.25,-7.504,-0.5776,-5.63,-9.17,-1.974,-5.14,-1.574,-2.154,-7.51
a,0,-0.8364,-1.392,-0.6333,-2.055,-2.24,-2.639,-2.234,-2.355,-2.434,-0.616,-4.29,-1.447,-1.214,0.1425,-2.752,-2.057,-1.301,-0.4685,-1.508,-1.559,-0.11633,-0.02998,-0.03183,-0.6006,0.4915,-1.996,-2.084,-3.72,-5.414,-3.885,-5.715,-0.9766,-0.6333,-2.055,-2.75,-0.903,-2.752,0.1425,-1.5,-0.4685,-1.301,0.04663,-0.272,-2.809,-2.59,-1.996,-2.084,-2.234,-0.03183,-0.6006,-3.188,-3.137,0.2479,0.9937,-4.367,-3.94,-2.057,-3.54,-4.12,-2.072,-2.22,0.4915,-0.8945,-1.062
a,0,4.113,3.818,6.016,6.03,3.348,3.771,2.838,2.215,4.91,1.816,1.8545,1.177,2.686,1.278,5.1,1.742,3.885,1.394,5.438,-0.471,1.568,-0.5825,2.799,-0.2003,0.824,-1.726,4.184,-2.65,-2.17,-2.486,-2.582,8.445,6.016,6.03,4.695,2.293,5.1,1.278,4.566,1.394,3.885,0.6733,3.793,2.447,3.055,-1.726,4.184,2.838,2.799,-0.2003,0.543,-2.254,3.205,1.1875,-2.291,-2.014,1.742,-3.354,-2.756,-2.213,-0.3477,0.824,4.344,8.66
a,0,-3.54,-3.906,-2.172,-4.29,-2.627,-2.648,-1.954,-2.908,-2.457,-2.562,-2.951,-2.018,-2.195,-4.066,-2.967,-1.944,-1.995,2.645,-2.8,-3.488,0.3752,1.435,-0.503,0.835,0.79,-4.477,-3.912,-1.437,-0.483,-3.143,-3.137,-2.27,-2.172,-4.29,-1.451,-3.58,-2.967,-4.066,-4.043,2.645,-1.995,-2.246,-2.568,-2.877,-2.773,-4.477,-3.912,-1.954,-0.503,0.835,-2.086,-1.215,-0.1566,0.1201,-1.473,-3.254,-1.944,-0.615,-2.836,-0.153,0.7812,0.79,-3.146,-4.367
a,0,14.13,13.17,10.17,8.836,9.1,7.625,8.086,3.217,3.533,0.3389,-1.331,1.201,2.035,-1.385,-1.627,1.554,0.8774,0.9697,-3.604,-3.23,-1.996,-1.965,-2.719,-2.506,-1.812,-6.355,-6.543,-8.11,-9.51,-9.88,-10.76,22.25,10.17,8.836,2.592,2.3,-1.627,-1.385,13.984,0.9697,0.8774,-1.599,-2.12,4.7,4.918,-6.355,-6.543,8.086,-2.719,-2.506,-7.28,-6.566,0.11456,-0.2053,-12.81,-10.39,1.554,-8.58,-10.04,-4.945,-5.812,-1.812,13.91,-0.2046
a,0,17.36,14.57,11.0,7.39,8.97,8.086,8.09,3.344,1.871,0.2979,-3.04,1.987,0.571,-1.44,-5.414,1.618,-1.81,1.377,-8.586,-3.871,-4.586,-2.268,-6.82,-3.469,-2.504,-7.5,-12.734,-7.574,-9.4,-11.56,-13.164,24.78,11.0,7.39,0.03812,3.342,-5.414,-1.44,15.85,1.377,-1.81,-2.299,-6.484,4.684,4.023,-7.5,-12.734,8.09,-6.82,-3.469,-11.734,-7.2,-2.795,0.1304,-15.336,-10.01,1.618,-7.855,-11.53,-4.406,-7.32,-2.504,17.12,-4.28
a,0,5.438,5.71,2.826,5.44,3.428,3.463,4.406,2.54,1.689,1.51,-0.3008,0.945,0.59,1.172,0.9814,0.601,0.726,1.334,-3.121,-2.17,-1.263,0.3699,-1.694,-1.143,-0.3857,-3.156,-3.418,-5.03,-6.33,-5.58,-7.754,9.55,2.826,5.44,1.565,2.525,0.9814,1.172,5.6,1.334,0.726,-0.504,-0.872,1.974,1.486,-3.156,-3.418,4.406,-1.694,-1.143,-5.473,-3.516,-0.05023,0.4338,-8.73,-4.188,0.601,-5.61,-6.53,-3.03,-4.477,-0.3857,5.598,-1.406
a,0,25.55,19.97,21.5,16.28,14.33,12.46,13.02,5.586,8.09,-0.2056,2.428,2.098,3.701,-3.66,1.112,3.568,3.49,0.739,-4.97,-5.863,-1.043,-2.682,-1.424,-2.613,-1.093,-8.84,-6.105,-5.805,-4.945,-7.465,-7.1,43.34,21.5,16.28,8.11,3.969,1.112,-3.66,23.89,0.739,3.49,-3.857,-1.0625,6.94,7.53,-8.84,-6.105,13.02,-1.424,-2.613,-4.66,-5.914,1.298,-0.2169,-9.875,-7.953,3.568,-5.37,-7.074,-3.305,-3.248,-1.093,25.53,5.855
a,0,5.312,5.633,2.723,4.727,2.068,3.44,3.102,2.488,0.575,1.964,-2.502,0.6655,-0.2461,2.248,-2.02,0.2322,-0.17,1.464,-2.922,-0.9136,-1.547,-0.2378,-2.371,-0.53,-0.7256,-2.37,-4.62,-2.959,-4.367,-4.445,-5.668,9.28,2.723,4.727,0.0408,3.234,-2.02,2.248,5.742,1.464,-0.17,0.702,-2.182,1.855,1.103,-2.37,-4.62,3.102,-2.371,-0.53,-4.883,-3.29,-0.3706,0.1109,-9.33,-5.39,0.2322,-3.785,-4.598,-1.206,-2.639,-0.7256,5.176,-3.725
a,0,5.27,6.18,1.855,4.1,1.138,1.106,0.863,0.0843,-2.258,-0.679,-6.637,-0.5317,-2.562,-1.619,-6.805,-1.355,-3.504,-0.28,-4.6,-2.975,0.02034,1.102,-2.172,0.755,0.9434,-3.521,-6.453,-1.175,-2.764,-3.865,-4.54,11.04,1.855,4.1,-2.627,1.921,-6.805,-1.619,6.586,-0.28,-3.504,-0.888,-4.656,-0.7534,-1.375,-3.521,-6.453,0.863,-2.172,0.755,-3.379,-1.561,-0.745,0.315,-3.982,-3.865,-1.355,-1.348,-3.57,1.7295,-0.075,0.9434,5.227,-9.25
a,0,-23.89,-22.0,-20.62,-15.63,-14.68,-11.09,-12.555,-6.883,-9.59,-4.55,-8.07,-1.113,-3.975,-5.723,-7.79,-2.254,-5.42,-2.05,-4.824,-1.994,-0.2957,1.475,-2.0,0.553,1.928,-4.668,-5.94,0.2136,-1.037,-2.203,-2.637,-37.94,-20.62,-15.63,-11.93,-8.1,-7.79,-5.723,-23.05,-2.05,-5.42,-2.445,-5.207,-5.617,-8.375,-4.668,-5.94,-12.555,-2.0,0.553,-3.756,-1.938,-1.318,1.073,-3.81,-2.898,-2.254,0.1725,-1.915,2.262,0.8667,1.928,-23.47,-11.05
a,0,24.52,22.16,20.36,14.68,16.12,13.13,12.8,7.434,9.32,2.783,6.66,2.26,3.578,1.2705,4.23,2.057,3.49,2.58,-2.36,-4.188,-1.398,-1.339,-1.586,-2.959,-1.415,-6.133,-3.398,-5.39,-5.805,-6.773,-6.87,35.06,20.36,14.68,9.984,7.582,4.23,1.2705,22.72,2.58,3.49,-1.15,-0.376,7.277,8.56,-6.133,-3.398,12.8,-1.586,-2.959,-5.582,-7.703,0.7754,-0.1895,-7.812,-8.35,2.057,-6.383,-7.16,-2.88,-3.92,-1.415,24.17,8.27
a,0,0.0981,1.535,-1.956,0.475,-3.795,-2.812,-2.934,-2.232,-3.693,-0.7393,-0.662,-1.508,-2.033,-1.309,-2.041,-2.48,-1.506,-0.629,-2.334,-1.74,0.1405,0.725,-0.676,-0.668,0.6895,-3.348,-3.451,-2.348,-1.755,-4.477,-4.055,5.805,-1.956,0.475,-3.15,-1.975,-2.041,-1.309,-0.54,-0.629,-1.506,-0.569,-1.428,-3.602,-4.01,-3.348,-3.451,-2.934,-0.676,-0.668,-2.988,-3.53,-0.6035,0.685,-4.92,-4.414,-2.48,-2.152,-4.934,0.1671,-0.3313,0.6895,0.0608,-1.944
a,0,-6.906,-6.473,-8.625,-6.355,-9.62,-8.85,-9.266,-6.29,-7.54,-3.574,-3.486,-3.543,-4.68,-4.223,-6.227,-5.152,-4.043,-2.719,-3.445,-1.409,0.1371,1.241,-1.1455,-0.5977,1.63,-2.908,-4.605,-1.045,-3.18,-4.72,-5.426,-7.453,-8.625,-6.355,-6.83,-6.184,-6.227,-4.223,-8.06,-2.719,-4.043,-1.558,-2.828,-8.2,-8.1,-2.908,-4.605,-9.266,-1.1455,-0.5977,-3.059,-2.748,-2.23,-0.2727,-6.03,-4.43,-5.152,-1.321,-5.348,1.021,-1.2295,1.63,-7.09,-7.504
a,0,1.775,-0.3535,-0.4714,-1.521,0.7183,-0.9995,-0.1553,-1.137,0.499,-1.448,-12.7,-1.469,-0.9976,-3.072,-3.186,-1.246,-1.741,-1.105,-7.63,-3.592,-2.504,-0.8765,-4.914,-1.129,-1.152,-6.445,-9.48,-6.785,-9.96,-10.19,-12.266,5.766,-0.4714,-1.521,-0.6084,-1.698,-3.186,-3.072,1.18,-1.105,-1.741,-1.826,-3.922,-1.9795,-0.6743,-6.445,-9.48,-0.1553,-4.914,-1.129,-10.07,-5.473,-1.472,-1.033,-14.62,-10.07,-1.246,-8.02,-10.61,-3.547,-5.88,-1.152,1.5205,-4.188
a,0,6.574,5.44,4.793,3.955,5.277,4.984,4.805,1.804,2.158,0.6694,2.064,0.351,1.072,0.07904,2.076,0.7163,0.9746,-0.2328,-0.644,-1.784,-0.274,-0.692,-0.1774,-0.5933,-0.5405,-2.332,0.03226,-1.785,-3.838,-0.817,-3.143,6.227,4.793,3.955,2.412,1.965,2.076,0.07904,6.87,-0.2328,0.9746,-1.365,0.1289,2.418,3.25,-2.332,0.03226,4.805,-0.1774,-0.5933,-2.467,-2.742,0.7573,-0.1583,-7.84,-3.152,0.7163,-2.697,-1.669,-1.864,-2.395,-0.5405,6.43,3.488
a,0,5.3,4.168,1.264,2.717,3.918,3.174,3.887,0.505,0.804,-1.15,1.613,1.188,1.358,-1.869,-1.826,1.683,0.9927,0.638,-2.574,-1.607,-2.021,-1.558,-1.681,-2.621,-1.609,-4.145,-4.53,-5.207,-5.527,-6.92,-7.586,3.838,1.264,2.717,-1.252,-0.4763,-1.826,-1.869,5.754,0.638,0.9927,-1.721,-1.525,2.252,2.318,-4.145,-4.53,3.887,-1.681,-2.621,-4.824,-4.453,-0.3325,0.10364,-2.38,-4.285,1.683,-5.09,-7.67,-3.092,-4.742,-1.609,5.44,-0.759
a,0,8.19,4.59,5.727,1.289,4.91,2.664,2.195,0.4688,2.572,-0.9175,-0.0542,0.1486,0.894,-2.053,2.268,0.4504,1.214,-0.002731,-1.068,-2.633,0.4758,-0.4102,0.01846,-1.162,-0.3599,-3.99,-0.4739,-2.5,-1.548,-3.244,-2.709,9.85,5.727,1.289,3.266,0.006027,2.268,-2.053,6.168,-0.002731,1.214,-1.359,0.827,0.793,1.6875,-3.99,-0.4739,2.195,0.01846,-1.162,-1.778,-4.27,1.036,0.1328,-4.625,-3.598,0.4504,-2.781,-2.955,-1.663,-1.04,-0.3599,7.996,4.945
a,0,6.816,6.496,6.29,3.756,5.85,5.516,5.69,3.14,3.193,1.712,0.7573,1.539,2.094,0.7524,1.37,1.881,1.457,0.5156,-2.252,-3.176,-1.039,-1.309,-1.393,-1.727,-1.196,-3.035,-3.252,-5.48,-6.133,-6.715,-8.15,6.637,6.29,3.756,2.805,2.367,1.37,0.7524,6.78,0.5156,1.457,-0.4258,-0.4785,3.514,3.947,-3.035,-3.252,5.69,-1.393,-1.727,-5.277,-4.715,0.4546,-0.3975,-9.05,-6.03,1.881,-5.832,-6.94,-3.443,-4.066,-1.196,6.605,3.01
a,0,0.2488,1.997,-2.186,1.749,0.0942,2.713,1.519,2.049,-2.309,0.06824,-4.84,1.914,-0.5415,-0.8457,-4.594,1.5205,-2.338,1.276,-4.207,-2.76,-2.172,-1.92,-4.008,-2.555,-1.973,-4.887,-6.656,-5.652,-5.844,-5.566,-6.375,4.414,-2.186,1.749,-2.738,1.363,-4.594,-0.8457,1.776,1.276,-2.338,-1.257,-4.598,1.948,-0.707,-4.887,-6.656,1.519,-4.008,-2.555,-6.66,-4.93,-0.7573,0.265,-6.906,-5.863,1.5205,-5.688,-5.28,-5.043,-5.098,-1.973,0.3333,-5.5
a,0,-7.656,1.036,1.108,1.552,-0.305,1.042,0.439,-6.56,-2.822,0.963,-0.463,1.051,-0.10675,-2.53,-3.895,1.568,-0.9194,1.219,-1.9795,-1.402,-3.008,-1.695,-4.023,-2.273,-4.383,-8.89,-5.746,4.273,-8.914,-9.766,-10.914,-3.924,1.108,1.552,-0.293,-0.5693,-3.895,-2.53,-0.706,1.219,-0.9194,-1.106,-1.559,1.597,0.769,-8.89,-5.746,0.439,-4.023,-2.273,-4.05,-2.842,-1.083,-0.6147,-5.902,-4.926,1.568,-9.48,-9.05,-5.457,-7.695,-4.383,-6.89,-1.568
a,0,-6.938,-6.832,-5.44,-7.5,-4.055,-5.605,-3.85,-7.12,-1.6045,-2.91,-2.277,-0.8745,-0.4812,-5.367,-3.95,-1.431,-1.1455,-2.664,-0.01607,0.0721,1.23,1.426,0.5615,0.3472,1.322,-1.737,-2.848,-8.62,-1.782,-5.34,-3.94,-11.086,-5.44,-7.5,-4.164,-6.375,-3.95,-5.367,-6.047,-2.664,-1.1455,-1.25,-0.948,-3.678,-2.14,-1.737,-2.848,-3.85,0.5615,0.3472,-2.082,-1.931,0.01901,0.9136,-2.627,-2.678,-1.431,-2.13,-4.562,0.8936,-0.4705,1.322,-6.81,-7.15
a,0,-1.156,-3.746,-2.932,-4.18,-2.55,-4.875,-4.67,0.2118,-2.553,-3.578,-3.205,-1.612,0.3027,-4.047,-3.727,-2.186,-2.877,0.2471,-0.781,-2.736,0.224,-0.2482,-1.334,-1.119,0.678,-3.195,-3.559,12.41,-0.862,-2.44,-3.34,1.284,-2.932,-4.18,-3.104,-3.936,-3.727,-4.047,-2.06,0.2471,-2.877,-3.191,-3.027,-3.662,-1.751,-3.195,-3.559,-4.67,-1.334,-1.119,-0.917,-1.824,-0.581,-1.067,-2.66,-3.205,-2.186,0.5884,-3.357,6.797,0.2969,0.678,-1.504,-3.354
